Maneuver Error Summary Generated 07-Feb-2013 19:30:31
SBoxMargin =     0.00 asec, 3-sig init roll uncer =    30.00 asec

 obsid MaxErrYZ Seg start_time            stop_time             ssss    angle    X-axis    Y-axis    Z-axis     initQ1      initQ2      initQ3      initQ4       finalQ1     finalQ2     finalQ3     finalQ4     iru-X    iru-Y    iru-Z    aber-X   aber-Y   aber-Z   del-Y    del-Z    delYZ   iruadjYZ totadjYZ syserr.Y syserr.Z ranerr.Y ranerr.Z
 15035    23.45  0  2013:046:17:51:45.243 2013:046:18:32:03.501 +-++  131.869 -0.861470 -0.003440 -0.507797  -0.28379120 -0.83628739  0.20506455  0.42194133  -0.05922203 -0.63522957 -0.76894198  0.04128406    -0.00     0.00     0.00     2.79     0.03     1.64     0.00     0.00     0.00     0.00     1.64    -0.03    -1.64    11.50    21.81
 15316    28.15  0  2013:047:02:56:33.501 2013:047:03:33:38.771 +-++  117.395 -0.843244  0.031865 -0.536586  -0.05922203 -0.63522957 -0.76894198  0.04128406  -0.25166090 -0.19795753  0.87772966  0.35646914    -0.00     0.00     0.00    12.28     0.07     7.48     0.00     0.00     0.00     0.00     7.48    -0.07    -7.48    13.12    20.67
 14459    36.04  0  2013:047:14:28:08.771 2013:047:15:14:10.333 -+--  157.617  0.850205 -0.008878  0.526377  -0.25166090 -0.19795753  0.87772966  0.35646914  -0.15388954 -0.82048362 -0.52172109  0.17587422    -0.00     0.00     0.00   -16.81     0.60   -10.30     0.00     0.00     0.00     0.00    10.32    -0.60    10.30     6.46    25.74
 15365    36.34  0  2013:047:20:35:20.334 2013:047:21:09:46.786 ++++  105.484 -0.057569  0.949015 -0.309930  -0.15388954 -0.82048362 -0.52172109  0.17587422   0.49524668 -0.37793680 -0.51307071  0.59046841     0.00    -0.00     0.00   -11.31   -28.64    -8.23     0.00     0.00     0.00     0.00    29.79    28.64     8.23     6.89    28.12
 15363    41.97  0  2013:048:00:17:36.786 2013:048:00:54:29.963 +++-  116.488  0.569127 -0.058392 -0.820174   0.49524668 -0.37793680 -0.51307071  0.59046841  -0.78448898  0.13113329  0.52351272  0.30547590     0.00    -0.00     0.00   -15.19    -0.28    20.15     0.00     0.00     0.00     0.00    20.15     0.28   -20.15    20.58    21.82
 14645    42.85  0  2013:048:03:45:39.963 2013:048:04:24:49.001 ---+  126.678 -0.580984  0.056402  0.811958  -0.78448898  0.13113329  0.52351272  0.30547590   0.44185002 -0.37167192 -0.48511204  0.65673042     0.00     0.00     0.00    16.63    -3.26   -21.60     0.00     0.00     0.00     0.00    21.85     3.26    21.60    21.11    21.25
 14887    20.15  0  2013:048:05:52:39.001 2013:048:06:13:40.788 +++-   45.022  0.534314 -0.317667 -0.783324   0.44185002 -0.37167192 -0.48511204  0.65673042   0.59499417 -0.38995183 -0.62281143  0.32561546     0.00    -0.00    -0.00    -5.59     4.38     9.72     0.00     0.00     0.00     0.00    10.66    -4.38    -9.72    15.13    10.43
 15610    25.78  0  2013:048:09:23:16.001 2013:048:09:44:33.131 +-+-   46.181  0.287099 -0.553395 -0.781875   0.59499417 -0.38995183 -0.62281143  0.32561546  -0.56839335  0.31705714  0.75798943  0.04307894    -0.00    -0.00    -0.00    -6.55     7.08    11.73     0.00     0.00     0.00     0.00    13.70    -7.08   -11.73    15.46    14.05
 53940     0.30  0  2013:048:16:23:19.108 2013:048:16:27:19.108 ++++    0.000  0.478852 -0.877896  0.000000  -0.56839335  0.31705714  0.75798943  0.04307894  -0.56839335  0.31705714  0.75798943  0.04307894     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 53939    38.36  0  2013:048:16:31:49.108 2013:048:16:58:23.322 ----   70.066  0.234561 -0.768207  0.595683  -0.56839335  0.31705714  0.75798943  0.04307894   0.01692950 -0.53704137 -0.84335204  0.00756893    -0.00     0.00     0.00   -12.04    17.99    -7.48     0.00     0.00     0.00     0.00    19.49   -17.99     7.48    20.36    18.90
 53938     3.43  0  2013:048:17:03:03.322 2013:048:17:11:41.891 +-+-    6.459 -0.207959 -0.863303 -0.459849   0.01692950 -0.53704137 -0.84335204  0.00756893   0.01028938  0.52623786  0.84932381  0.04021083    -0.00     0.00    -0.00     0.82     1.05     0.52     0.00     0.00     0.00     0.00     1.17    -1.05    -0.52     1.61     2.91
 53937    30.17  0  2013:048:18:58:59.061 2013:048:19:23:13.000 -+-+   59.545  0.532950  0.609245  0.587184   0.01028938  0.52623786  0.84932381  0.04021083   0.08393434 -0.69070720 -0.61278732  0.37466023     0.00    -0.00     0.00   -11.60    -7.36    -9.78     0.00     0.00     0.00     0.00    12.24     7.36     9.78    10.39    20.39
 53936     8.31  0  2013:048:20:56:43.521 2013:048:21:10:14.546 ----   17.514  0.383979 -0.650932  0.654864   0.08393434 -0.69070720 -0.61278732  0.37466023  -0.02473075 -0.76397440 -0.53623228  0.35803136    -0.00     0.00     0.00     1.74     2.04    -2.68     0.00     0.00     0.00     0.00     3.37    -2.04     2.68     6.27     5.53
 53935     8.29  0  2013:048:21:37:04.984 2013:048:21:50:36.009 ++++   17.514 -0.383979  0.650932 -0.654864  -0.02473075 -0.76397440 -0.53623228  0.35803136   0.08393434 -0.69070720 -0.61278732  0.37466023     0.00     0.00     0.00    -1.73    -2.67     2.05     0.00     0.00     0.00     0.00     3.37     2.67    -2.05     5.57     6.23
 53934    30.03  0  2013:048:23:37:41.248 2013:049:00:01:55.187 +-+-   59.545 -0.532950 -0.609245 -0.587184   0.08393434 -0.69070720 -0.61278732  0.37466023   0.01028938  0.52623786  0.84932381  0.04021083    -0.00     0.00    -0.00    11.62    10.04     6.96     0.00     0.00     0.00     0.00    12.21   -10.04    -6.96    19.99    11.13
 53933    17.54  0  2013:049:01:29:45.187 2013:049:01:59:52.136 -++-   86.021  0.876593  0.021752  0.480740   0.01028938  0.52623786  0.84932381  0.04021083  -0.19153453 -0.88987850 -0.31972214  0.26307513    -0.00    -0.00     0.00    -9.66    -0.08    -5.12     0.00     0.00     0.00     0.00     5.12     0.08     5.12    13.86    12.42
 15613    27.30  0  2013:049:02:40:37.970 2013:049:03:02:25.803 -+-+   48.546  0.258761  0.916744  0.304340  -0.19153453 -0.88987850 -0.31972214  0.26307513  -0.13745969 -0.72211298 -0.23606652  0.63555509     0.00    -0.00     0.00   -14.34     2.16    -5.89     0.00     0.00     0.00     0.00     6.27    -2.16     5.89     4.45    21.41
 14930    30.88  0  2013:049:07:50:15.802 2013:049:08:14:19.370 -+-+   58.768 -0.058363  0.691568  0.719949  -0.13745969 -0.72211298 -0.23606652  0.63555509  -0.31295820 -0.35823899 -0.04851012  0.87827602     0.00    -0.00     0.00   -11.69    11.82     3.32     0.00     0.00     0.00     0.00    12.28   -11.82    -3.32    19.05    17.14
 14594    31.22  0  2013:049:09:42:09.370 2013:049:10:24:53.384 ++++  142.801  0.418361 -0.007909 -0.908247  -0.31295820 -0.35823899 -0.04851012  0.87827602   0.55643916 -0.40947615 -0.62710987  0.35977486     0.00     0.00    -0.00    -4.71     0.56    10.59     0.00     0.00     0.00     0.00    10.61    -0.56   -10.59    16.30    20.62
